OBJECTID,FeatureId,Name,Sensitive,Type,Access,LastUpdate,SHAPE_Length,SHAPE_Area
599,74510,FEN DRAYTON LAKES,OPEN,RSPB,Publicised Reserve,2019/08/08 00:00:00+00,24862.1362988859,-3946514.78077121
600,74511,SNAPE,OPEN,RSPB,Publicised Reserve,2021/09/02 00:00:00+00,16157.6754942414,-1595908.07885518
601,74512,SUTTON FEN,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,15974.565033978,-2343836.92385406
602,74513,BROADWATER WARREN,OPEN,RSPB,Publicised Reserve,2021/05/06 00:00:00+00,9330.22109477136,-1948855.75636025
603,74514,MORFA DINLLE,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,5530.50380131019,-1172153.0459901
604,74515,DUNNET HEAD,OPEN,RSPB,Publicised Reserve,2020/11/13 00:00:00+00,2832.79007518039,-184005.795977831
605,74516,NEWPORT WETLANDS,OPEN,RSPB,Publicised Reserve,2021/05/20 00:00:00+00,1388.01514670299,-63844.4287497758
606,74517,YELL,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,33725.3088806093,-18708208.2720349
607,74518,SOUTH ESSEX MARSHES,OPEN,RSPB,Publicised Reserve,2020/07/03 00:00:00+00,59873.4936183838,-7426234.59668541
608,74519,ARDMORE,OPEN,RSPB,Non-Publicised Reserve,2021/05/12 00:00:00+00,3717.31271786137,-197547.058785323
609,74520,BROUBSTER LEANS,OPEN,RSPB,Publicised Reserve,2020/10/28 00:00:00+00,10162.9000674143,-2974327.95868808
610,74521,MEIKLE LOCH,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,2865.48078641089,-292166.729424218
611,74522,LABRADOR BAY,OPEN,RSPB,Publicised Reserve,2020/05/27 00:00:00+00,5628.6375218447,-533788.072100349
612,74523,LYTH VALLEY,OPEN,RSPB,Non-Publicised Reserve,2020/09/09 00:00:00+00,1551.10632561179,-52728.9515875019
613,74524,BOGSIDE FLATS,OPEN,RSPB,Non-Publicised Reserve,2021/02/03 00:00:00+00,2004.33476070421,-180977.369540564
614,74525,HARTY MARSHES,OPEN,RSPB,Publicised Reserve,2020/05/21 00:00:00+00,2934.3425962907,-367563.086198673
615,74526,GREAT BELLS FARM,OPEN,RSPB,Non-Publicised Reserve,2020/05/14 00:00:00+00,8022.4410595003,-1945579.8459717
616,74527,WALLASEA ISLAND,OPEN,RSPB,Publicised Reserve,2021/05/12 00:00:00+00,35432.9565688106,-9519567.68783212
617,74528,CROOK OF BALDOON,OPEN,RSPB,Publicised Reserve,2021/02/12 00:00:00+00,14007.6677842462,-1948553.02698449
618,74529,EASTERN MOORS,OPEN,RSPB,Publicised Reserve,2019/08/02 00:00:00+00,87789.0393454067,-34266600.9179519
619,74530,LYDDEN VALLEY,OPEN,RSPB,Non-Publicised Reserve,2020/05/27 00:00:00+00,15098.9645124948,-2458955.27394132
620,74531,CRANNACH,OPEN,RSPB,Publicised Reserve,2018/07/13 00:00:00+00,15319.7771777885,-5405226.98348286
621,74532,PAGHAM HARBOUR,OPEN,RSPB,Publicised Reserve,2020/06/11 00:00:00+00,32336.1353840779,-4575613.91410735
622,74533,LOCH LOMOND,OPEN,RSPB,Publicised Reserve,2021/02/26 00:00:00+00,13891.8561948966,-2330502.17271633
623,123514,BUDBY SOUTH FOREST,OPEN,RSPB,Publicised Reserve,2019/05/30 00:00:00+00,6935.46145794444,-2082579.8415889
624,124287,HIBBETS WOOD,OPEN,RSPB,Non-Publicised Reserve,2020/05/22 00:00:00+00,1461.74564944783,-51716.9622417077
625,124288,ROWLANDS WOOD,OPEN,RSPB,Non-Publicised Reserve,2020/07/01 00:00:00+00,2351.53667453201,-170116.143592119
626,567387,LOUGH BEG,OPEN,RSPB,Non-Publicised Reserve,2021/10/15 00:00:00+00,7405.08470793394,-1838951.80227269
